Method,Seed,Subject,Accuracy
Baseline,1,1,48.611111111111114
Baseline,1,2,30.555555555555557
Baseline,1,3,59.02777777777778
Baseline,1,4,39.583333333333336
Baseline,1,5,38.541666666666664
Baseline,1,6,42.013888888888886
Baseline,1,7,51.736111111111114
Baseline,1,8,58.333333333333336
Baseline,1,9,56.94444444444444
Baseline,2,1,63.888888888888886
Baseline,2,2,32.638888888888886
Baseline,2,3,72.22222222222223
Baseline,2,4,46.875
Baseline,2,5,25.0
Baseline,2,6,46.52777777777778
Baseline,2,7,63.541666666666664
Baseline,2,8,67.70833333333333
Baseline,2,9,60.06944444444444
Baseline,3,1,62.15277777777778
Baseline,3,2,31.25
Baseline,3,3,67.01388888888889
Baseline,3,4,51.041666666666664
Baseline,3,5,44.44444444444444
Baseline,3,6,46.18055555555556
Baseline,3,7,60.06944444444444
Baseline,3,8,60.06944444444444
Baseline,3,9,61.80555555555556
FreqAug,1,1,65.27777777777777
FreqAug,1,2,40.97222222222222
FreqAug,1,3,68.75
FreqAug,1,4,51.736111111111114
FreqAug,1,5,35.06944444444444
FreqAug,1,6,48.263888888888886
FreqAug,1,7,62.15277777777778
FreqAug,1,8,64.23611111111111
FreqAug,1,9,61.458333333333336
FreqAug,2,1,70.48611111111111
FreqAug,2,2,37.84722222222222
FreqAug,2,3,73.61111111111111
FreqAug,2,4,52.083333333333336
FreqAug,2,5,25.0
FreqAug,2,6,50.34722222222222
FreqAug,2,7,60.763888888888886
FreqAug,2,8,72.22222222222223
FreqAug,2,9,64.58333333333333
FreqAug,3,1,60.06944444444444
FreqAug,3,2,33.68055555555556
FreqAug,3,3,66.66666666666667
FreqAug,3,4,43.40277777777778
FreqAug,3,5,26.73611111111111
FreqAug,3,6,46.52777777777778
FreqAug,3,7,61.80555555555556
FreqAug,3,8,63.888888888888886
FreqAug,3,9,61.80555555555556
GausAug,1,1,66.66666666666667
GausAug,1,2,35.06944444444444
GausAug,1,3,62.84722222222222
GausAug,1,4,52.43055555555556
GausAug,1,5,33.68055555555556
GausAug,1,6,44.44444444444444
GausAug,1,7,66.66666666666667
GausAug,1,8,66.66666666666667
GausAug,1,9,62.15277777777778
GausAug,2,1,64.23611111111111
GausAug,2,2,32.291666666666664
GausAug,2,3,75.34722222222223
GausAug,2,4,52.43055555555556
GausAug,2,5,25.34722222222222
GausAug,2,6,54.861111111111114
GausAug,2,7,65.625
GausAug,2,8,71.875
GausAug,2,9,63.888888888888886
GausAug,3,1,57.986111111111114
GausAug,3,2,38.541666666666664
GausAug,3,3,71.52777777777777
GausAug,3,4,52.77777777777778
GausAug,3,5,30.555555555555557
GausAug,3,6,48.958333333333336
GausAug,3,7,57.986111111111114
GausAug,3,8,61.111111111111114
GausAug,3,9,60.416666666666664
